shap_frequency,shap_recency_days,shap_monetary,shap_avg_order_value,shap_customer_lifespan,shap_avg_purchase_interval_days,customer_unique_id
-0.004141502203555373,3.0014449268469554,122.96673363872327,2.5670565965324,-0.02258766905946615,0.020522957334981322,36925
0.00500975097887184,-0.36592256544813184,-117.14644477761665,0.021450679673719886,-0.02062437913153558,0.02740480930009969,60163
-0.005704535317954994,-0.8621309221715364,-234.04643030593166,0.24428208102031962,-0.018108047620360404,0.021796860841819792,88268
-0.006627883467281658,-0.06936854932465283,-203.47098726613257,0.15028363688887778,-0.029588802202219943,0.013303573752218172,87237
-0.004787572549927791,-0.48308854855238953,-300.82784554606076,0.6215288576091097,-0.01722139182665851,0.03384710104942478,66725
-0.017236776935584647,-3.5346828972277575,736.2520581042294,-32.4573318366847,-2.2484373282271592,-1.6530393747498473,69017
-0.003738896338381408,0.22224621387708246,-249.62146368288376,0.4460375971877909,-0.016006452108490953,0.028853971015631377,63093
-0.0053393499316498755,-0.18239957897400733,-112.3058074906751,0.21097657969356076,-0.026205228404884404,0.020688889609682116,80225
-0.006689999041328263,0.11168663103500068,-207.72931976797105,-0.3655994696987893,-0.029550579949625077,0.02188982862785536,80456
-0.005018827724877094,0.2021165759014134,-276.47732197757426,0.31478074354002283,-0.0182491727028638,0.03515351122241394,756
0.004456239970028536,1.673897737704826,-172.4035071847773,-0.3141506875356183,-0.020446181265963505,0.0312482205553879,37350
-0.005518353258805467,-0.2521934987728245,542.3876657053391,-9.80584161142842,0.10078248150538521,0.09341840547085847,59280
-0.011533243872382453,0.6052810845094158,-3.6961078305790855,0.6148389254956712,0.008744130278890797,0.07711202340624222,85442
-0.0006862673282106093,-0.724583955767766,-188.1835144484345,0.46086621495056296,-0.013612517256492849,0.025784075876373675,37809
-0.03517148026053765,4.4200039962294335,745.8077420014839,-1.9562356132326522,-1.0254249946894836,-0.7988502792386543,47081
-0.0037002444540174197,-0.4023535127636195,-59.643069598195254,0.7010769069817974,-0.027755189655168218,0.01356262432337794,88629
-0.00847533820150078,-0.4401241699874135,-250.5471040601747,-0.13942140128707467,-0.016941767764699096,0.02537673878570521,72621
-0.005611353214639966,-0.3389896057571957,-232.92404656845537,0.09885090424086941,-0.01906823998819473,0.028058544910198168,7332
0.04687711752784914,0.9361553948070933,210.2609056553787,2.10678642727602,0.24585610719046921,0.15925882966670377,32445
-0.005955900537813708,-0.4319161506623506,-203.86565857318413,-0.07893146185721449,-0.031431012631647756,0.016288782457530734,83050
-0.005372649043990276,-0.303754380110602,-293.1953127205353,0.5046643350240717,-0.015732698206940822,0.03315252839599977,20756
-0.004558362577242655,-0.7451452678711485,-126.7735036918659,2.7899014657746446,-0.01822297195073338,0.02212531629679854,24991
-0.0038438296109067943,-0.6452121401495816,-228.28994782987394,0.8909607621690717,-0.018554052662449697,0.019404531832000266,4745
